arabic_full,arabic_word,transliteration,english,category,type,notes,dialect,audio_path
لا,لا,Laa,Don’t / Not,Connector / Adverb / Particle,Negator (Imperative / Simple),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لا.mp3
ما,ما,Maa,Not,Connector / Adverb / Particle,Negator (Past / Ongoing),,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما.mp3
مو,مو,Moo,Not,Connector / Adverb / Particle,Negator (Casual / Hejazi/Gulf),,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مو.mp3
كذا,كذا,Kida,Like that / this way / so,Connector / Adverb / Particle,Adverb,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كذا.mp3
قاعد,قاعد,qaaʿid,"Continuous marker (literally ""sitting"")",Connector / Adverb / Particle,Particle,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قاعد.mp3
ممكن,ممكن,Mumkin,Maybe / Might / Possible,Connector / Adverb / Particle,Adverb / Modal,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ممكن.mp3
إنه,إنه,Innu,That,Connector / Adverb / Particle,Connector,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\إنه.mp3
إن,إن,Inn,That,Connector / Adverb / Particle,Connector,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\إن.mp3
إنك,إنك,Innak,That,Connector / Adverb / Particle,Connector,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\إنك.mp3
و,و,wu / w-,And,Connector / Adverb / Particle,Connector,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\و.mp3
بس,بس,Bas,But,Connector / Adverb / Particle,Connector,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بس.mp3
لو,لو,Law,If,Connector / Adverb / Particle,Connector,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لو.mp3
حـ / بـ,حـ / بـ,ḥa- / bi-,Will (Future marker),Connector / Adverb / Particle,Prefix,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\حـ___بـ.mp3
وبعدين,وبعدين,w-baʿdayn,And then / later,Connector / Adverb / Particle,Connector,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\وبعدين.mp3
عشان,عشان,ʿashaan,Because,Connector / Adverb / Particle,Connector,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عشان.mp3
عشان كذا,عشان كذا,ʿashaan kida,So / therefore / that’s why,Connector / Adverb / Particle,Phrase/Connector,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عشان_كذا.mp3
اللي,اللي,Al-li / Illi,That which / what,Connector / Adverb / Particle,Connector,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\اللي.mp3
وش,وش,Wesh,What (colloquial question),Connector / Adverb / Particle,Question Word,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\وش.mp3
إيش,إيش,Ish / Esh,What (colloquial question - variant),Connector / Adverb / Particle,Question Word,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\إيش.mp3
مين,مين,Miin,Who,Connector / Adverb / Particle,Question Word,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مين.mp3
كيف,كيف,Keef,How,Connector / Adverb / Particle,Question Word,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كيف.mp3
إذا,إذا,idha,If / When (conditional),Connector / Adverb / Particle,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\إذا.mp3
يعني,يعني,yaʿni,Like / means (filler word),Connector / Adverb / Particle,Particle / Filler,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يعني.mp3
بعد,بعد,baʿd,Also (variant),Connector / Adverb / Particle,Adverb,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بعد.mp3
برضو,برضو,barḍu,Also (variant),Connector / Adverb / Particle,Adverb,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\برضو.mp3
يمكن,يمكن,yumkin,Maybe / perhaps,Connector / Adverb / Particle,Adverb / Modal,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يمكن.mp3
شوية,شوية,shwayyah,A little bit,Connector / Adverb / Particle,Adverb,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\شوية.mp3
شوي,شوي,shway,A little bit,Connector / Adverb / Particle,Adverb,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\شوي.mp3
لما,لما,lamma,When (temporal connector),Connector / Adverb / Particle,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لما.mp3
دايمًا,دايمًا,dayman,Always,Connector / Adverb / Particle,Adverb,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\دايم_ا.mp3
أحيانًا,أحيانًا,aḥyaanan,Sometimes,Connector / Adverb / Particle,Adverb,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أحيان_ا.mp3
نادراً,نادراً,Naadiran,Rarely,Connector / Adverb / Particle,Adverb,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نادرا_.mp3
كثير,كثير,kathiir,A lot / often,Connector / Adverb / Particle,Adverb / Adjective,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كثير.mp3
خصوصاً,خصوصاً,khuṣooṣan,Especially / in particular,Connector / Adverb / Particle,Adverb,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\خصوصا_.mp3
بالذات,بالذات,bil-dhaat,Especially / in particular,Connector / Adverb / Particle,Phrase/Adverb,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بالذات.mp3
فجأة,فجأة,fajʾah,Suddenly,Connector / Adverb / Particle,Adverb,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\فجأة.mp3
هناك,هناك,hinaak,There,Connector / Adverb / Particle,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\هناك.mp3
هنا,هنا,hina,Here,Connector / Adverb / Particle,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\هنا.mp3
برّا,برّا,barra,Outside,Connector / Adverb / Particle,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بر_ا.mp3
الواقت,الواقت,al-waqt,The time,Connector / Adverb / Particle,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الواقت.mp3
بسرعة,بسرعة,bisurʿah,Fast,Connector / Adverb / Particle,Phrase/Adverb,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بسرعة.mp3
أثناء,أثناء,athnaaʾ,During (formal),Connector / Adverb / Particle,,,MSA,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أثناء.mp3
خلال,خلال,khilāl,During (formal),Connector / Adverb / Particle,,,MSA,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\خلال.mp3
غالبًا,غالبًا,ghāliban,Often (formal),Connector / Adverb / Particle,,,MSA,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\غالب_ا.mp3
جداً,جداً,jiddan,Very (formal),Connector / Adverb / Particle,,,MSA,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\جدا_.mp3
خارج,خارج,khārij,Outside (formal),Connector / Adverb / Particle,,,MSA,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\خارج.mp3
قبل قليل,قبل قليل,qabil qalīl,A little while ago (formal),Connector / Adverb / Particle,,,MSA,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قبل_قليل.mp3
تمامًا,تمامًا,tamāman,Exactly (formal),Connector / Adverb / Particle,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تمام_ا.mp3
ما شاء الله,ما شاء الله,ma shaa' Allah,Wow / That’s impressive / Polite admiration,Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_شاء_الله.mp3
ايه,ايه,eeh,Yeah / Yep,Interjection & Greeting,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ايه.mp3
تمام,تمام,tamaam,Alright / Okay / Cool / Nice,Interjection & Greeting,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تمام.mp3
خلاص,خلاص,khalaas,Alright / It's settled,Interjection & Greeting,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\خلاص.mp3
الصراحة,الصراحة,aṣ-ṣaraaḥah,"Well, actually / To be honest",Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الصراحة.mp3
صدق؟,صدق؟,ṣidq?,Really? (casual),Interjection & Greeting,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\صدق_.mp3
مستحيل!,مستحيل!,mustaḥeel!,No way! / Impossible!,Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مستحيل_.mp3
عادي,عادي,ʿaadi,That’s fine / normal / okay,Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عادي.mp3
العفو,العفو,al-ʿafw,You’re welcome,Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\العفو.mp3
أبد,أبد,abad,Not at all,Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أبد.mp3
ولا يهمك,ولا يهمك,wala yihimmak,Don’t worry,Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ولا_يهمك.mp3
يا سلام,يا سلام,ya salaam,Wow / Amazing (expression of admiration),Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يا_سلام.mp3
أهلًا وسهلًا,أهلًا وسهلًا,ahlan wa sahlan,Welcome,Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أهل_ا_وسهل_ا.mp3
يا هلا,يا هلا,ya hala,Welcome (casual),Interjection & Greeting,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يا_هلا.mp3
سلام,سلام,salaam,Peace / Hello,Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\سلام.mp3
مرحبًا,مرحبًا,marḥaban,Hello / Welcome,Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مرحب_ا.mp3
يا نور,يا نور,ya nur,O light (affectionate address),Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\يا_نور.mp3
سمي,سمي,sammi,Go ahead / Welcome (Najdi phrase),Interjection & Greeting,,,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\سمي.mp3
شكرًا جزيلًا,شكرًا جزيلًا,shukran jazīlan,Thank you very much,Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\شكر_ا_جزيل_ا.mp3
مساء الـ...,مساء الـ...,masāʾ al-...,The evening of… (greeting structure),Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مساء_الـ....mp3
والله,والله,wallah,I swear (by God),Interjection & Greeting,,,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\والله.mp3
اوه,اوه,oh,Oh (interjection),Interjection & Greeting,,,,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\اوه.mp3
بصوت عالي,بصوت عالي,bisoot ʿaali,Loudly / with a high voice,Phrase / Idiom,,"Lit. ""with voice high""",Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بصوت_عالي.mp3
قبل ما,قبل ما,qabil maa,Before (followed by verb),Phrase / Idiom,,Colloquial conjunction,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قبل_ما.mp3
ما تدري,ما تدري,maa tidri,She doesn't know,Phrase / Idiom,,Colloquial negation of a present verb,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_تدري.mp3
إيش قاعد يقول؟,إيش قاعد يقول؟,Ish qaaʿid yiquul?,What is he saying?,Phrase / Idiom,,Using Qaaʿid for present continuous,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\إيش_قاعد_يقول_.mp3
قال لي,قال لي,qaal li,To say to / to tell,Phrase / Idiom,,Verb + preposition,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قال_لي.mp3
لا تقول لأحد,لا تقول لأحد,laa tiquul li'ahad,Don’t tell anyone,Phrase / Idiom,,"Aḥad with negation means ""anyone/no one""",Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لا_تقول_لأحد.mp3
كلام فاضي,كلام فاضي,kalaam faadi,Nonsense / empty speech,Phrase / Idiom,,"Lit. ""empty words""",Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كلام_فاضي.mp3
كانوا يتكلموا,كانوا يتكلموا,kaanu yitkallamu,They were speaking,Phrase / Idiom,,Kaanu + present verb for past continuous,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كانوا_يتكلموا.mp3
كنت أبغى,كنت أبغى,Kuntu abgha,I wanted,Phrase / Idiom,,Kaan + Abgha often means 'wanted' or 'used to want',Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كنت_أبغى.mp3
وبس,وبس,w-bas,And that's all / That's it,Phrase / Idiom,,"Lit. ""and just/only""",Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\وبس.mp3
كنت قاعد أطبخ,كنت قاعد أطبخ,Kunt qaaʿid aṭbukh,I was cooking,Phrase / Idiom,,Kaan + Qaaʿid + present verb for past continuous,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كنت_قاعد_أطبخ.mp3
ما فهمت وش تبي تقول,ما فهمت وش تبي تقول,Ana maa fihimt wesh tabi tiquul.,I didn’t understand what you want to say.,Phrase / Idiom,,Example sentence structure,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_فهمت_وش_تبي_تقول.mp3
وش رايك...؟,وش رايك...؟,Wesh raayak...?,What about...? / How about...?,Phrase / Idiom,,"Lit. ""What is your opinion?"" - polite suggestion",Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\وش_رايك..._.mp3
مو متأكد إذا...,مو متأكد إذا...,Moo mutaʾakkid idha...,I’m not sure if...,Phrase / Idiom,,Casual negation + conditional,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مو_متأكد_إذا....mp3
باين عليك...,باين عليك...,Baayin ʿalayk...,I can tell that... / It shows on you...,Phrase / Idiom,,Idiomatic expression,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\باين_عليك....mp3
خلينا...,خلينا...,khalleena...,Let us... / Let's...,Phrase / Idiom,,Imperative form,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\خلينا....mp3
كنت مفكر بشي ثاني,كنت مفكر بشي ثاني,kunt mfakkir bishay thaany,I was thinking about something else,Phrase / Idiom,,Past state/continuous with participle,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كنت_مفكر_بشي_ثاني.mp3
باين عليك مبسوط,باين عليك مبسوط,Baayin ʿalayk mabsooṭ.,I can tell you’re happy.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\باين_عليك_مبسوط.mp3
قاعد أزور أهلي,قاعد أزور أهلي,Qaaʿid azuur ahli,I’m visiting my family,Phrase / Idiom,,Qaaʿid + present verb for present continuous,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قاعد_أزور_أهلي.mp3
كنت قاعد أطبخ لما...,كنت قاعد أطبخ لما...,Kunt qaaʿid aṭbukh lamma...,I was cooking when...,Phrase / Idiom,,Kaan + Qaaʿid + present verb + Lamma for past continuous,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كنت_قاعد_أطبخ_لما....mp3
من وقت لوقت,من وقت لوقت,min waqt liwaqt,Every now and then,Phrase / Idiom,,"Lit. ""from time to time""",Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\من_وقت_لوقت.mp3
بطريقة ما,بطريقة ما,biṭareeqah maa,Somehow,Phrase / Idiom,,"Lit. ""in a way not specified""",Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بطريقة_ما.mp3
كيف صار كذا؟,كيف صار كذا؟,Keef ṣar kida?,How did that happen?,Phrase / Idiom,,"Using Ṣar for ""to happen""",Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كيف_صار_كذا_.mp3
المكان اللي كنا فيه,المكان اللي كنا فيه,al-makaan illi kunna fih,The place that we were in it,Phrase / Idiom,,Using Illi + Kaan + Fih,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\المكان_اللي_كنا_فيه.mp3
أنا رايح هناك بعدين,أنا رايح هناك بعدين,Ana raayiḥ hinaak baʿdayn,I'm actually going there later on,Phrase / Idiom,,Rāyiḥ (participle) used for near future intention,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أنا_رايح_هناك_بعدين.mp3
كنت ناوي أروح,كنت ناوي أروح,kunt naawi aruuḥ,I was planning on going,Phrase / Idiom,,Kaan + Nāwi (participle) for past intention/planning,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كنت_ناوي_أروح.mp3
أنا في الطريق الحين,أنا في الطريق الحين,ana fi aṭ-ṭareeq alḥeen,I'm on my way right now,Phrase / Idiom,,Common phrase,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أنا_في_الطريق_الحين.mp3
بوصل هناك بعد...,بوصل هناك بعد...,bawsal hinaak baʿd...,I'll be there in...,Phrase / Idiom,,Future verb + Baʿd + time,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\بوصل_هناك_بعد....mp3
اوه، حسبت إنه...,اوه، حسبت إنه...,"oh, ḥasabt innuh...","Oh, I thought it was...",Phrase / Idiom,,Common reaction phrase,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\اوه__حسبت_إنه....mp3
ما كنت أدري إنه...,ما كنت أدري إنه...,maa kunt adri innuh...,I didn't realize it was...,Phrase / Idiom,,Past state negation + Inn,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_كنت_أدري_إنه....mp3
هذي كانت أول مرة...,هذي كانت أول مرة...,haadhi kaanat awwal marrah...,That was the first time I ever...,Phrase / Idiom,,Common phrase structure,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\هذي_كانت_أول_مرة....mp3
أحس هذي أول مرة...,أحس هذي أول مرة...,aḥiss haadhi awwal marrah...,I think this is the first time I...,Phrase / Idiom,,"Using Aḥiss as ""I think/feel"" + common phrase",Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أحس_هذي_أول_مرة....mp3
دقيت عليّ,دقيت عليّ,daqqeet ʿalayya,You called me,Phrase / Idiom,,Verb + preposition + object pronoun,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\دقيت_علي_.mp3
عشان كذا قلت لك,عشان كذا قلت لك,ʿashaan kida qult lak,That's why I told you.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\عشان_كذا_قلت_لك.mp3
برضو أوافقك,برضو أوافقك,Barḍu awaafiqk,I also agree with you.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\برضو_أوافقك.mp3
على فكرة، الجو اليوم رهيب,على فكرة، الجو اليوم رهيب,"ʿala fikrah, al-jaww al-yawm raheeb!","By the way, the weather today is awesome!",Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\على_فكرة__الجو_اليوم_رهيب.mp3
شي جديد,شي جديد,shay jadeed,Something new,Phrase / Idiom,,Noun + adjective,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\شي_جديد.mp3
نص ساعة,نص ساعة,nuṣ ṣaaʿah,Half an hour,Phrase / Idiom,,Noun phrase,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نص_ساعة.mp3
مطعم رهيب,مطعم رهيب,maṭʿam raheeb,Awesome restaurant,Phrase / Idiom,,Noun + adjective,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مطعم_رهيب.mp3
تساعدني شوي,تساعدني شوي,tsaʿidni shwayyah,Help me a little,Phrase / Idiom,,Verb + object + adverb,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\تساعدني_شوي.mp3
قبل ما يقفلون,قبل ما يقفلون,qabil ma yiqfiloon,Before they close,Phrase / Idiom,,Colloquial conjunction + verb,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قبل_ما_يقفلون.mp3
أفكر أغير خطتي,أفكر أغير خطتي,Afakkir aghayyir khuṭṭati,I'm thinking of changing my plan,Phrase / Idiom,,Verb + conjugated verb (like infinitive),Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أفكر_أغير_خطتي.mp3
قررت أسافر,قررت أسافر,Qarrart asaafir,I decided to travel,Phrase / Idiom,,Past verb + conjugated verb (like infinitive),Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\قررت_أسافر.mp3
الصراحة، كنت مفكر بشي ثاني,الصراحة، كنت مفكر بشي ثاني,"Aṣ-ṣaraaḥah, kunt mfakkir bishay thaany.","Well, actually, I was thinking about something else.",Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\الصراحة__كنت_مفكر_بشي_ثاني.mp3
وش رايك نطلع نتمشى؟,وش رايك نطلع نتمشى؟,Wesh raayak naṭlaʿ nitmasha?,How about we go for a walk?,Phrase / Idiom,,Suggestion phrase + verbs,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\وش_رايك_نطلع_نتمشى_.mp3
مو متأكد إذا يناسبنا,مو متأكد إذا يناسبنا,Moo mutaʾakkid idha yanaasibna.,I'm not sure if it suits us.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مو_متأكد_إذا_يناسبنا.mp3
باين عليك مبسوط,باين عليك مبسوط,Baayin ʿalayk mabsooṭ.,I can tell you’re happy.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\باين_عليك_مبسوط.mp3
في الليل,في الليل,fi al-layl,At night / in the night,Phrase / Idiom,,Phrase,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\في_الليل.mp3
كنت أعرفه,كنت أعرفه,kunt aʿrifuh,I used to know him,Phrase / Idiom,,Kaan + present verb for past habitual,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كنت_أعرفه.mp3
مكان هادي,مكان هادي,makaan haadi,A quiet place,Phrase / Idiom,,Noun + adjective,Both,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\مكان_هادي.mp3
ما توقعت,ما توقعت,ma tawaqqaʿt,I didn't expect,Phrase / Idiom,,Past negative verb,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_توقعت.mp3
كيف صار كذا؟,كيف صار كذا؟,Keef ṣar kida?,How did that happen?,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\كيف_صار_كذا_.mp3
نمشي عالخطة,نمشي عالخطة,nimshi ʿal khuṭṭah,We'll go with the plan,Phrase / Idiom,,"Lit. ""we walk on the plan""",Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\نمشي_عالخطة.mp3
من وقت لوقت أزور أهلي,من وقت لوقت أزور أهلي,Min waqt liwaqt azuur ahli,Every now and then I visit my family.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\من_وقت_لوقت_أزور_أهلي.mp3
لقيت أحد في المكان اللي كنا فيه,لقيت أحد في المكان اللي كنا فيه,Laqeet aḥad fi al-makaan illi kunna fih.,I found someone in the place we were at.,Phrase / Idiom,,Example sentence,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\لقيت_أحد_في_المكان_اللي_كنا_فيه.mp3
ما عاد أروح هناك,ما عاد أروح هناك,Maa ʿaad aruuḥ hinaak.,I don’t go there anymore.,Phrase / Idiom,,"Idiomatic negation for ""anymore""",Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\ما_عاد_أروح_هناك.mp3
أبد، ولا يهمك,أبد، ولا يهمك,"Abad, wala yihimmak","Not at all, don't worry.",Phrase / Idiom,,Common response,Saudi,C:\Users\Henri\Documents\GitHub\Saudi_Arabic_Flash_Cards\audio\أبد__ولا_يهمك.mp3
